Slab Width,Slab Length,AL,B,C,CA,NB,CR,CU,MN,MO,N,NI,P,S,SI,TI,V,Reheating Furnace Exit Temp,Finishing Temp,Coiling Temp,FM Exit Thickness,Coil Outr Dia,Avg line speed,weld pressure,Reduction Ratio,ACL-Thickness,ACL-Width,ACL-Length,O2 in Heating Element Furnace,Radiant Tube Furnace Dewpoint,After Tube Cooling Dewpoint,Rapid Jet Cooling Dewpoint,Coating Thickness,Drying Furnace Press,B50,Hardness,Coreloss-Before Aging,Coreloss After Aging,Permeability
1265.0,7810.0,0.002,0.0001,0.0012,0.0002,0.0002,0.026,0.006,0.21,0.001,0.0012,0.007,0.046,0.005,0.681,0.0004,0.0004,1061.0,869.0,687.0,2.8,984.418,103.036,841.0,0.821428571,0.5,1183.0,942.869,1.21736,-18.98,-27.42,-18.10879,1.52,-6.86,1.73,130.0,5.36,5.37,2010.0
1265.0,8770.0,0.002,0.0001,0.0012,0.0002,0.0002,0.026,0.006,0.21,0.001,0.0012,0.007,0.046,0.005,0.681,0.0004,0.0004,1080.0,876.0,680.0,2.8,994.981,85.772,847.0,0.821428571,0.5,1183.0,1321.696,1.200826,-25.037,-29.761,-19.2956,1.54,-6.748,1.73,126.0,5.21,5.21,1978.0
1265.0,9730.0,0.001,0.0001,0.0015,0.0002,0.0002,0.03,0.005,0.22,0.001,0.0016,0.008,0.05,0.005,0.65,0.0004,0.0005,1057.0,858.0,685.0,2.8,1057.765,111.736,841.0,0.821428571,0.5,1185.0,1499.852,1.228926,-16.447,-24.115,-16.467,1.6,-6.211,1.73,127.0,5.71,5.73,1900.0
1265.0,9730.0,0.001,0.0001,0.0015,0.0002,0.0002,0.03,0.005,0.22,0.001,0.0016,0.008,0.05,0.005,0.65,0.0004,0.0005,1076.0,872.0,681.0,2.8,1063.911,110.556,848.0,0.821428571,0.5,1185.0,1251.31,1.206141,-21.135,-18.221,-14.69827,1.45,-5.808,1.73,127.0,5.93,5.97,1915.0
1265.0,9730.0,0.001,0.0001,0.0015,0.0002,0.0002,0.03,0.005,0.22,0.001,0.0016,0.008,0.05,0.005,0.65,0.0004,0.0005,1053.0,859.0,685.0,2.8,1062.839,97.162,850.0,0.821428571,0.5,1183.0,1369.048,1.229579,-23.027,-29.254,-22.11115,1.5,-6.743,1.71,121.0,5.39,5.39,1655.0
1265.0,9730.0,0.001,0.0001,0.0015,0.0002,0.0002,0.03,0.005,0.22,0.001,0.0016,0.008,0.05,0.005,0.65,0.0004,0.0005,1068.0,871.0,678.0,2.8,1061.441,97.895,847.0,0.821428571,0.5,1183.0,1364.382,1.220957,-21.565,-32.44,-21.2951,1.5,-6.531,1.71,122.0,5.36,5.36,1758.0
1265.0,8770.0,0.002,0.0001,0.0012,0.0002,0.0002,0.026,0.006,0.21,0.001,0.0012,0.007,0.046,0.005,0.681,0.0004,0.0004,1052.0,861.0,685.0,2.8,1014.861,97.774,844.0,0.821428571,0.5,1183.0,1212.466,1.220216,-24.141,-26.282,-16.6321,1.51,-6.537,1.72,125.0,5.3,5.3,1884.0
1265.0,9730.0,0.001,0.0001,0.0015,0.0002,0.0002,0.03,0.005,0.22,0.001,0.0016,0.008,0.05,0.005,0.65,0.0004,0.0005,1074.0,876.0,678.0,2.8,1064.568,104.813,849.0,0.821428571,0.5,1185.0,1374.825,1.233972,-21.689,-16.748,-13.05297,1.4,-6.271,1.73,126.0,5.88,5.92,1894.0
1280.0,9730.0,0.003,0.0001,0.0016,0.0001,0.0002,0.039,0.004,0.25,0.001,0.0014,0.007,0.058,0.005,0.72,0.0006,0.0004,1086.0,862.0,682.0,2.79,1687.471,110.947,848.0,0.82078853,0.5,1185.0,1082.319,1.205534,-19.081,-26.586,-18.33936,1.5,-6.027,1.73,132.0,5.77,5.8,1941.0
1280.0,9730.0,0.003,0.0001,0.0016,0.0001,0.0002,0.039,0.004,0.25,0.001,0.0014,0.007,0.058,0.005,0.72,0.0006,0.0004,1067.0,869.0,680.0,2.8,1692.28,101.221,841.0,0.821428571,0.5,1165.0,1317.863,1.238268,-24.075,-12.648,-1.6838,1.37,-6.042,1.73,127.0,5.88,5.89,1917.0
1280.0,9730.0,0.002,0.0001,0.0011,0.0002,0.0003,0.031,0.003,0.22,0.001,0.0013,0.008,0.046,0.005,0.664,0.0007,0.0004,1090.0,883.0,684.0,2.79,1700.281,99.24,848.0,0.82078853,0.5,1165.0,877.448,1.237167,-22.196,-13.411,-9.406323,1.52,-6.179,1.74,123.0,6.1,6.11,1983.0
1280.0,9730.0,0.002,0.0001,0.0011,0.0002,0.0003,0.031,0.003,0.22,0.001,0.0013,0.008,0.046,0.005,0.664,0.0007,0.0004,1064.0,874.0,681.0,2.79,1688.313,104.895,849.0,0.82078853,0.5,1165.0,1302.217,1.233245,-21.658,-16.43,-10.58467,1.45,-6.22,1.74,128.0,6.19,6.22,2014.0
1280.0,9730.0,0.002,0.0001,0.0011,0.0002,0.0003,0.031,0.003,0.22,0.001,0.0013,0.008,0.046,0.005,0.664,0.0007,0.0004,1087.0,886.0,683.0,2.8,1700.601,101.878,850.0,0.821428571,0.5,1165.0,1330.972,1.251711,-23.884,-22.629,-18.43995,1.65,-6.388,1.74,124.0,6.26,6.27,2015.0
1280.0,9730.0,0.002,0.0001,0.0011,0.0002,0.0003,0.031,0.003,0.22,0.001,0.0013,0.008,0.046,0.005,0.664,0.0007,0.0004,1075.0,878.0,677.0,2.8,1697.712,98.198,841.0,0.821428571,0.5,1165.0,1303.063,1.236405,-23.925,-10.13,-1.718928,1.69,-5.92,1.73,126.0,5.63,5.67,1869.0
1280.0,8610.0,0.003,0.0001,0.0016,0.0001,0.0002,0.039,0.004,0.25,0.001,0.0014,0.007,0.058,0.005,0.72,0.0006,0.0004,1096.0,895.0,683.0,2.82,1580.657,110.69,849.0,0.822695035,0.5,1165.0,1124.402,1.256631,-22.022,-31.21,-20.28872,1.45,-5.65,1.73,130.0,6.12,6.13,1961.0
1280.0,9730.0,0.003,0.0001,0.0016,0.0001,0.0002,0.039,0.004,0.25,0.001,0.0014,0.007,0.058,0.005,0.72,0.0006,0.0004,1067.0,870.0,673.0,2.79,1708.844,107.972,847.0,0.82078853,0.5,1165.0,1335.201,1.221939,-21.881,-34.793,-21.58148,1.4,-6.1,1.72,132.0,5.93,5.96,1826.0
1280.0,8600.0,0.003,0.0001,0.0016,0.0001,0.0002,0.039,0.004,0.25,0.001,0.0014,0.007,0.058,0.005,0.72,0.0006,0.0004,1087.0,887.0,680.0,2.8,1606.345,111.608,849.0,0.821428571,0.5,1165.0,1163.306,1.223384,-20.318,-20.244,-17.33157,1.45,-5.947,1.73,132.0,6.05,6.1,1964.0
1280.0,9730.0,0.003,0.0001,0.0016,0.0001,0.0002,0.039,0.004,0.25,0.001,0.0014,0.007,0.058,0.005,0.72,0.0006,0.0004,1069.0,879.0,678.0,2.79,1707.277,110.125,844.0,0.82078853,0.5,1165.0,1184.449,1.250747,-22.014,-28.627,-19.59023,1.5,-5.75,1.73,132.0,6.05,6.05,1966.0
1280.0,9730.0,0.003,0.0001,0.0016,0.0001,0.0002,0.039,0.004,0.25,0.001,0.0014,0.007,0.058,0.005,0.72,0.0006,0.0004,1071.0,876.0,678.0,2.8,1706.806,109.034,847.0,0.821428571,0.5,1165.0,1336.258,1.246093,-22.322,-31.769,-20.65758,1.5,-5.937,1.73,131.0,6.25,6.26,1916.0
1280.0,9730.0,0.003,0.0001,0.0016,0.0001,0.0002,0.039,0.004,0.25,0.001,0.0014,0.007,0.058,0.005,0.72,0.0006,0.0004,1070.0,878.0,679.0,2.8,1693.983,108.924,851.0,0.821428571,0.5,1165.0,1301.583,1.214421,-22.065,-34.192,-21.79674,1.4,-6.047,1.74,130.0,6.18,6.2,1976.0
1280.0,9730.0,0.002,0.0001,0.0011,0.0002,0.0003,0.031,0.003,0.22,0.001,0.0013,0.008,0.046,0.005,0.664,0.0007,0.0004,1077.0,867.0,671.0,2.79,1705.834,103.739,849.0,0.82078853,0.5,1165.0,1313.212,1.230158,-22.407,-12.447,-4.647344,1.5,-6.626,1.73,126.0,6.24,6.26,1796.0
1280.0,9730.0,0.002,0.0001,0.0011,0.0002,0.0003,0.031,0.003,0.22,0.001,0.0013,0.008,0.046,0.005,0.664,0.0007,0.0004,1059.0,863.0,678.0,2.79,1682.128,107.95,846.0,0.82078853,0.5,1165.0,1281.92,1.23341,-20.901,-26.687,-17.85887,1.45,-5.863,1.73,128.0,6.41,6.42,1909.0
1280.0,9730.0,0.002,0.0001,0.0011,0.0002,0.0003,0.031,0.003,0.22,0.001,0.0013,0.008,0.046,0.005,0.664,0.0007,0.0004,1086.0,882.0,675.0,2.79,1694.927,104.37,850.0,0.82078853,0.5,1220.0,4107.184,1.227911,-22.238,-23.105,-16.40526,1.5,-6.151,1.73,127.0,6.09,6.1,1893.0
1280.0,9730.0,0.002,0.0001,0.0011,0.0002,0.0003,0.031,0.003,0.22,0.001,0.0013,0.008,0.046,0.005,0.664,0.0007,0.0004,1064.0,867.0,680.0,2.8,1701.357,99.987,847.0,0.821428571,0.5,1165.0,1158.443,1.249579,-22.664,-17.615,-14.16784,1.49,-6.722,1.72,125.0,6.16,6.17,1803.0
1280.0,9730.0,0.002,0.0001,0.0013,0.0002,0.0002,0.031,0.004,0.19,0.001,0.0019,0.007,0.043,0.0076,0.72,0.0008,0.0002,1083.0,882.0,680.0,2.8,1703.22,103.108,842.0,0.821428571,0.5,1227.0,4151.448,1.252315,-19.959,-13.704,-10.19595,0.73,-6.472,1.74,130.0,6.07,7.34,1994.0
1280.0,9730.0,0.002,0.0001,0.0013,0.0002,0.0002,0.031,0.004,0.19,0.001,0.0019,0.007,0.043,0.0076,0.72,0.0008,0.0002,1059.0,865.0,684.0,2.79,1710.533,104.132,842.0,0.82078853,0.5,1220.0,4190.663,1.243583,-21.43,-31.433,-18.88507,1.63,-5.928,1.73,128.0,5.94,6.02,1961.0
1280.0,9730.0,0.002,0.0001,0.0013,0.0002,0.0002,0.031,0.004,0.19,0.001,0.0019,0.007,0.043,0.0076,0.72,0.0008,0.0002,1084.0,883.0,677.0,2.8,1726.31,0.0,0.0,0.821428571,0.5,237.0,1314.225,0.0,0.0,0.0,0.0,0.73,0.0,1.74,130.0,5.82,5.83,2012.0
1280.0,9730.0,0.002,0.0001,0.0013,0.0002,0.0002,0.031,0.004,0.19,0.001,0.0019,0.007,0.043,0.0076,0.72,0.0008,0.0002,1054.0,867.0,682.0,2.79,1707.874,103.129,842.0,0.82078853,0.5,237.0,1350.318,1.231671,-19.652,-19.682,-17.17536,0.75,-6.499,1.73,130.0,6.13,6.13,1947.0
1280.0,9730.0,0.002,0.0001,0.0013,0.0002,0.0002,0.031,0.004,0.19,0.001,0.0019,0.007,0.043,0.0076,0.72,0.0008,0.0002,1079.0,879.0,683.0,2.79,1711.061,102.835,842.0,0.82078853,0.5,196.0,970.276,1.217356,-22.26,-12.019,-4.472511,0.68,-6.434,1.73,132.0,5.82,5.82,1918.0
1280.0,9730.0,0.002,0.0001,0.0013,0.0002,0.0002,0.031,0.004,0.19,0.001,0.0019,0.007,0.043,0.0076,0.72,0.0008,0.0002,1047.0,862.0,684.0,2.79,1707.534,103.628,843.0,0.82078853,0.5,237.0,1323.142,1.218901,-19.535,-21.208,-17.68913,0.73,-6.44,1.73,131.0,6.23,6.24,1977.0
1280.0,9730.0,0.002,0.0001,0.0013,0.0002,0.0002,0.031,0.004,0.19,0.001,0.0019,0.007,0.043,0.0076,0.72,0.0008,0.0002,1084.0,880.0,680.0,2.8,1694.79,103.071,840.0,0.821428571,0.5,196.0,981.316,1.224032,-18.561,-17.317,-14.38328,0.72,-6.444,1.74,131.0,6.13,6.16,1945.0
1280.0,9730.0,0.002,0.0001,0.0013,0.0002,0.0002,0.031,0.004,0.19,0.001,0.0019,0.007,0.043,0.0076,0.72,0.0008,0.0002,1046.0,863.0,682.0,2.8,1702.654,108.349,849.0,0.821428571,0.5,1220.0,4148.422,1.256327,-21.998,-32.085,-18.131,1.68,-5.623,1.73,132.0,5.82,5.85,1881.0
1280.0,8630.0,0.001,0.0001,0.0019,0.0001,0.0002,0.023,0.004,0.25,0.001,0.0011,0.007,0.044,0.0044,0.711,0.0003,0.0002,1088.0,877.0,666.0,2.79,1604.046,98.954,849.0,0.82078853,0.5,196.0,864.453,1.254198,-99.0,-46.867,-98.99991,0.88,-5.819,1.72,128.0,5.31,5.31,1833.0
1280.0,8630.0,0.001,0.0001,0.0019,0.0001,0.0002,0.023,0.004,0.25,0.001,0.0011,0.007,0.044,0.0044,0.711,0.0003,0.0002,1093.0,885.0,672.0,2.79,1592.573,102.922,849.0,0.82078853,0.5,196.0,729.608,1.226045,-99.0,-83.539,-98.99991,0.84,-6.002,1.73,125.0,5.91,5.91,1846.0
1280.0,9730.0,0.004,0.0001,0.0018,0.0001,0.0002,0.027,0.007,0.25,0.001,0.0016,0.007,0.046,0.005,0.72,0.0006,0.0004,1074.0,876.0,679.0,2.8,937.885,107.988,841.0,0.821428571,0.5,1200.0,976.35,-99.0,-99.0,-99.0,-18.98546,0.66,-6.56,1.74,125.0,6.2,6.25,1956.0
1280.0,9730.0,0.004,0.0001,0.0018,0.0001,0.0002,0.027,0.007,0.25,0.001,0.0016,0.007,0.046,0.005,0.72,0.0006,0.0004,1092.0,878.0,679.0,2.79,964.996,112.75,847.0,0.82078853,0.5,1200.0,1057.385,1.217782,-20.085,-24.657,-17.80881,0.8,-6.353,1.73,131.0,6.42,6.45,1887.0
1280.0,9730.0,0.004,0.0001,0.0018,0.0001,0.0002,0.027,0.007,0.25,0.001,0.0016,0.007,0.046,0.005,0.72,0.0006,0.0004,1075.0,869.0,682.0,2.79,951.114,101.786,841.0,0.82078853,0.5,1200.0,1015.605,1.21624,-25.313,-14.401,-3.456834,0.79,-6.351,1.72,127.0,6.21,6.28,1703.0
1280.0,9730.0,0.004,0.0001,0.0018,0.0001,0.0002,0.027,0.007,0.25,0.001,0.0016,0.007,0.046,0.005,0.72,0.0006,0.0004,1085.0,878.0,680.0,2.79,947.9,111.064,849.0,0.82078853,0.5,1200.0,1006.016,1.22472,-20.684,-20.517,-13.68852,0.82,-6.343,1.73,132.0,6.3,6.32,1836.0
1280.0,9730.0,0.004,0.0001,0.0018,0.0001,0.0002,0.027,0.007,0.25,0.001,0.0016,0.007,0.046,0.005,0.72,0.0006,0.0004,1073.0,872.0,681.0,2.79,953.686,105.961,848.0,0.82078853,0.5,1200.0,925.265,1.228468,-99.0,-2.791,-10.5853,0.86,-5.962,1.72,126.0,6.41,6.42,1694.0
1280.0,9730.0,0.003,0.0001,0.0018,0.0001,0.0002,0.025,0.004,0.25,0.001,0.0012,0.007,0.048,0.005,0.685,0.0004,0.0003,1083.0,876.0,681.0,2.79,947.665,105.483,848.0,0.82078853,0.5,1200.0,1005.318,-99.0,-99.0,-4.045,-98.99991,0.69,-6.681,1.73,124.0,5.91,5.91,1928.0
1280.0,9730.0,0.004,0.0001,0.0018,0.0001,0.0002,0.027,0.007,0.25,0.001,0.0016,0.007,0.046,0.005,0.72,0.0006,0.0004,1071.0,868.0,679.0,2.79,945.182,102.492,849.0,0.82078853,0.5,1200.0,885.775,-99.0,-99.0,-0.78,-98.99991,0.75,-6.643,1.72,126.0,6.41,6.41,1742.0
1280.0,9730.0,0.004,0.0001,0.0018,0.0001,0.0002,0.027,0.007,0.25,0.001,0.0016,0.007,0.046,0.005,0.72,0.0006,0.0004,1075.0,874.0,678.0,2.79,952.372,111.6,849.0,0.82078853,0.5,1200.0,374.947,1.208087,-18.514,-18.208,-10.69091,0.87,-6.204,1.73,130.0,6.19,6.27,1876.0
1280.0,9730.0,0.003,0.0001,0.0018,0.0001,0.0002,0.025,0.004,0.25,0.001,0.0012,0.007,0.048,0.005,0.685,0.0004,0.0003,1076.0,873.0,681.0,2.79,948.015,111.059,849.0,0.82078853,0.5,1200.0,1006.36,1.218748,-19.777,-22.678,-14.91695,0.79,-6.347,1.72,128.0,5.93,5.97,1822.0
1280.0,9730.0,0.003,0.0001,0.0018,0.0001,0.0002,0.025,0.004,0.25,0.001,0.0012,0.007,0.048,0.005,0.685,0.0004,0.0003,1075.0,866.0,679.0,2.79,934.731,99.832,843.0,0.82078853,0.5,1200.0,967.072,1.221687,-99.0,-99.0,-98.99991,0.86,-6.459,1.73,122.0,6.26,6.26,1959.0
1280.0,9730.0,0.001,0.0001,0.0019,0.0001,0.0002,0.023,0.004,0.25,0.001,0.0011,0.007,0.044,0.0044,0.711,0.0003,0.0002,1078.0,874.0,680.0,2.79,1701.807,108.093,850.0,0.82078853,0.5,60.0,1987.435,1.221187,-99.0,-99.0,-98.99991,0.83,-6.388,1.72,130.0,5.78,5.84,1847.0
1280.0,9730.0,0.003,0.0001,0.0018,0.0001,0.0002,0.025,0.004,0.25,0.001,0.0012,0.007,0.048,0.005,0.685,0.0004,0.0003,1064.0,869.0,686.0,2.79,938.389,105.216,841.0,0.82078853,0.5,126.0,823.123,1.257245,-18.711,-23.694,-10.37215,0.83,-6.217,1.73,127.0,5.49,5.51,1932.0
1280.0,9730.0,0.001,0.0001,0.0019,0.0001,0.0002,0.023,0.004,0.25,0.001,0.0011,0.007,0.044,0.0044,0.711,0.0003,0.0002,1076.0,876.0,682.0,2.79,1256.344,104.164,850.0,0.82078853,0.5,1200.0,2073.979,1.227576,-20.474,-28.15,-15.27213,0.88,-6.0,1.72,132.0,5.23,5.26,1794.0
1280.0,9730.0,0.001,0.0001,0.0019,0.0001,0.0002,0.023,0.004,0.25,0.001,0.0011,0.007,0.044,0.0044,0.711,0.0003,0.0002,1072.0,878.0,681.0,2.79,1707.007,106.919,847.0,0.82078853,0.5,1200.0,4171.737,1.23087,-99.0,-99.0,-98.99991,0.84,-6.003,1.72,127.0,5.49,5.49,1848.0
1280.0,8630.0,0.001,0.0001,0.0019,0.0001,0.0002,0.023,0.004,0.25,0.001,0.0011,0.007,0.044,0.0044,0.711,0.0003,0.0002,1073.0,882.0,684.0,2.79,1023.562,104.978,842.0,0.82078853,0.5,1200.0,1240.324,-99.0,-99.0,-99.0,-19.0205,0.8,-6.629,1.74,124.0,5.89,5.89,2048.0
1280.0,8630.0,0.001,0.0001,0.0019,0.0001,0.0002,0.023,0.004,0.25,0.001,0.0011,0.007,0.044,0.0044,0.711,0.0003,0.0002,1065.0,872.0,685.0,2.79,1009.556,103.424,849.0,0.82078853,0.5,1200.0,1087.049,1.231406,-19.329,-21.578,-13.26348,0.73,-6.465,1.72,125.0,5.62,5.68,1836.0
1280.0,9730.0,0.003,0.0001,0.0018,0.0001,0.0002,0.025,0.004,0.25,0.001,0.0012,0.007,0.048,0.005,0.685,0.0004,0.0003,1071.0,875.0,684.0,2.79,951.992,103.114,847.0,0.82078853,0.5,1200.0,969.002,1.231492,-18.8,-20.458,-12.21093,0.73,-6.513,1.73,126.0,6.12,6.12,1902.0
1280.0,9730.0,0.004,0.0001,0.0018,0.0001,0.0002,0.027,0.007,0.25,0.001,0.0016,0.007,0.046,0.005,0.72,0.0006,0.0004,1054.0,867.0,680.0,2.79,1494.168,108.021,849.0,0.82078853,0.5,60.0,1768.741,1.217779,-99.0,-99.0,-98.99991,0.82,-6.379,1.73,126.0,6.43,6.43,1823.0
1280.0,8630.0,0.001,0.0001,0.0019,0.0001,0.0002,0.023,0.004,0.25,0.001,0.0011,0.007,0.044,0.0044,0.711,0.0003,0.0002,1060.0,872.0,683.0,2.79,1014.61,102.865,847.0,0.82078853,0.5,1200.0,1211.663,1.231891,-20.807,-15.868,-10.58456,0.8,-6.5,1.72,128.0,5.61,5.67,1854.0
1280.0,8630.0,0.001,0.0001,0.0019,0.0001,0.0002,0.023,0.004,0.25,0.001,0.0011,0.007,0.044,0.0044,0.711,0.0003,0.0002,1052.0,871.0,682.0,2.79,1011.315,107.375,847.0,0.82078853,0.5,1200.0,468.153,1.210477,-19.566,-19.024,-13.18142,0.73,-6.343,1.73,126.0,5.82,5.85,1925.0
1280.0,9730.0,0.004,0.0001,0.0018,0.0001,0.0002,0.027,0.007,0.25,0.001,0.0016,0.007,0.046,0.005,0.72,0.0006,0.0004,1063.0,871.0,682.0,2.79,955.027,110.051,850.0,0.82078853,0.5,1200.0,1027.32,1.204642,-19.141,-16.461,-7.889559,0.89,-6.081,1.72,132.0,6.32,6.35,1721.0
1280.0,9730.0,0.003,0.0001,0.0018,0.0001,0.0002,0.025,0.004,0.25,0.001,0.0012,0.007,0.048,0.005,0.685,0.0004,0.0003,1062.0,867.0,678.0,2.79,934.582,104.124,842.0,0.82078853,0.5,1200.0,966.635,1.216754,-20.415,-6.902,8.149577,0.78,-6.59,1.72,128.0,6.03,6.03,1829.0
1280.0,9730.0,0.003,0.0001,0.0018,0.0001,0.0002,0.025,0.004,0.25,0.001,0.0012,0.007,0.048,0.005,0.685,0.0004,0.0003,1067.0,870.0,680.0,2.79,969.273,109.95,847.0,0.82078853,0.5,1200.0,1070.382,1.263856,-20.85,-27.232,-17.1023,0.86,-6.364,1.73,127.0,6.1,6.11,1969.0
1180.0,8630.0,0.002,0.0001,0.0022,0.0003,0.0002,0.02,0.008,0.25,0.0015,0.002,0.008,0.065,0.005,0.5,0.0001,0.0002,1083.0,883.0,691.0,2.98,1035.088,108.043,846.0,0.832214765,0.5,1103.0,1277.597,1.214979,-0.538,-99.0,-98.99991,0.71,-6.231,1.73,120.0,5.34,5.36,1894.0
1180.0,8630.0,0.002,0.0001,0.0022,0.0003,0.0002,0.02,0.008,0.25,0.0015,0.002,0.008,0.065,0.005,0.5,0.0001,0.0002,1095.0,894.0,685.0,2.99,1633.778,108.18,841.0,0.83277592,0.5,1103.0,3787.454,-99.0,-99.0,-0.874,-98.99991,0.75,-6.199,1.73,122.0,5.74,5.78,1935.0
1180.0,9730.0,0.002,0.0001,0.0011,0.0003,0.0002,0.02,0.008,0.26,0.0016,0.002,0.008,0.065,0.006,0.478,0.0001,0.0002,1103.0,893.0,684.0,3.0,1062.569,94.99,844.0,0.833333333,0.5,1103.0,1368.147,1.227995,-99.0,-99.0,-98.99991,0.83,-6.175,1.74,120.0,5.44,5.48,2113.0
1180.0,9730.0,0.002,0.0002,0.0015,0.0002,0.0001,0.02,0.001,0.26,0.0014,0.0021,0.001,0.065,0.004,0.5,0.0001,0.0002,1076.0,876.0,680.0,2.99,977.62,106.953,848.0,0.83277592,0.5,1103.0,1095.909,1.224214,-99.0,-99.0,-98.99991,0.79,-6.372,1.72,127.0,5.54,5.56,1785.0
1180.0,9730.0,0.002,0.0001,0.0022,0.0003,0.0002,0.02,0.008,0.25,0.0015,0.002,0.008,0.065,0.005,0.5,0.0001,0.0002,1089.0,884.0,684.0,2.99,948.172,102.881,842.0,0.83277592,0.5,1103.0,884.444,-99.0,-99.0,-11.118,-98.99991,0.64,-6.352,1.73,121.0,6.0,6.03,1877.0
